canonical_name,country,source,raw_name
Arsenal,England,fd_couk,Arsenal
Arsenal,England,fd_org,Arsenal FC
Aston Villa,England,fd_couk,Aston Villa
Aston Villa,England,fd_org,Aston Villa FC
AFC Bournemouth,England,fd_couk,Bournemouth
AFC Bournemouth,England,fd_org,AFC Bournemouth
Brentford,England,fd_couk,Brentford
Brentford,England,fd_org,Brentford FC
Brighton & Hove Albion,England,fd_couk,Brighton
Brighton & Hove Albion,England,fd_org,Brighton & Hove Albion FC
Burnley,England,fd_couk,Burnley
Burnley,England,fd_org,Burnley FC
Chelsea,England,fd_couk,Chelsea
Chelsea,England,fd_org,Chelsea FC
Crystal Palace,England,fd_couk,Crystal Palace
Crystal Palace,England,fd_org,Crystal Palace FC
Everton,England,fd_couk,Everton
Everton,England,fd_org,Everton FC
Fulham,England,fd_couk,Fulham
Fulham,England,fd_org,Fulham FC
Ipswich Town,England,fd_couk,Ipswich
Ipswich Town,England,fd_org,Ipswich Town FC
Leeds United,England,fd_couk,Leeds
Leeds United,England,fd_org,Leeds United FC
Leicester City,England,fd_couk,Leicester
Leicester City,England,fd_org,Leicester City FC
Liverpool,England,fd_couk,Liverpool
Liverpool,England,fd_org,Liverpool FC
Manchester City,England,fd_couk,Man City
Manchester City,England,fd_org,Manchester City FC
Manchester United,England,fd_couk,Man United
Manchester United,England,fd_org,Manchester United FC
Newcastle United,England,fd_couk,Newcastle
Newcastle United,England,fd_org,Newcastle United FC
Norwich City,England,fd_couk,Norwich
Norwich City,England,fd_org,Norwich City FC
Nottingham Forest,England,fd_couk,Nott'm Forest
Nottingham Forest,England,fd_org,Nottingham Forest FC
Sheffield United,England,fd_couk,Sheffield United
Sheffield United,England,fd_org,Sheffield United FC
Southampton,England,fd_couk,Southampton
Southampton,England,fd_org,Southampton FC
Tottenham Hotspur,England,fd_couk,Tottenham
Tottenham Hotspur,England,fd_org,Tottenham Hotspur FC
Watford,England,fd_couk,Watford
Watford,England,fd_org,Watford FC
West Bromwich Albion,England,fd_couk,West Brom
West Bromwich Albion,England,fd_org,West Bromwich Albion FC
West Ham United,England,fd_couk,West Ham
West Ham United,England,fd_org,West Ham United FC
Wolverhampton Wanderers,England,fd_couk,Wolves
Wolverhampton Wanderers,England,fd_org,Wolverhampton Wanderers FC
Luton Town,England,fd_couk,Luton
Luton Town,England,fd_org,Luton Town FC
